year,mu,s,week,fitted_cdf,year_group
2005,16.541631311628272,1.2109928083645276,13,0.050952336277232696,Other
2010,16.6390782236277,1.0721649415065384,13,0.0324790978922979,Other
2017,18.525382173135974,1.528833163592439,13,0.0262339383782688,Other
2012,16.78877955420752,0.9900779361651335,13,0.021316042715574218,Other
2004,18.24932551046021,1.1659938474108666,13,0.010965034143925634,Other
1990,17.851895029727196,1.0565709543451416,13,0.010029794661908422,Other
2008,19.51236278632033,1.351842174817684,13,0.00802291060294144,Other
1994,17.471323506363426,0.9127694501581843,13,0.007401569954075028,Other
2016,19.383594976591883,1.2951375381933548,13,0.007182541800921714,Other
1983,19.955213158039424,1.3627927890379434,13,0.006037875595319464,Other
1995,19.483719479113137,1.237528484154592,13,0.005276253992220894,Other
1981,21.647102462008604,1.624256797100034,13,0.004850898360531689,Other
1989,22.04114077726732,1.6542699420372284,13,0.004213094696267923,Other
1997,17.467770373014034,0.7893501202363457,13,0.003470217733115046,Other
2021,19.016865825313612,1.0627491634643094,13,0.003464885268003754,Other
2020,19.99935456745787,1.1554081864958052,13,0.002333833948538311,Other
2014,19.913683005379703,1.0955557141637242,13,0.0018135332459679656,Other
2018,19.11968047659817,0.9543178740683612,13,0.0016380281858207923,2018
2006,17.23807444335008,0.6440647953481751,13,0.001385650618546731,Other
1988,17.326824069178695,0.636183026192589,13,0.0011111752329526975,Other
2022,20.012923021399583,1.0097496888443964,13,9.623116821247306e-4,Other
1985,17.461869371428108,0.6416841736675388,13,9.54495246857845e-4,Other
2002,21.14873274918691,1.1294270492763459,13,7.34984313060825e-4,Other
2019,22.95846774999589,1.3544246560089428,13,6.405487047441415e-4,2019
1984,20.32815839383654,0.9724513135827503,13,5.333716167403557e-4,Other
1986,18.447153325224846,0.6898973000028762,13,3.722396823802073e-4,Other
2015,19.051423306698773,0.7531476674842027,13,3.2387044620487803e-4,Other
1982,17.164317134528158,0.5182813754478109,13,3.23865683827105e-4,Other
1999,17.550566308908664,0.5529471323010038,13,2.665561803535864e-4,Other
1987,18.331379908949984,0.6163061628700899,13,1.7500201640329826e-4,Other
1980,18.62132385647612,0.6433192980254367,13,1.6034864249341054e-4,Other
2009,20.140740323295397,0.8033354421916045,13,1.378970809356686e-4,Other
2007,18.12642902028725,0.5690248741527212,13,1.2227110886621725e-4,Other
1996,21.538531553531655,0.9399802383341086,13,1.1348400408613295e-4,Other
2013,19.252739332071425,0.6680876749555522,13,8.616504255838813e-5,Other
1979,18.75976007155734,0.6116147500995176,13,8.129857285786063e-5,Other
1993,18.6252594997513,0.5741017416492514,13,5.553914693286412e-5,Other
1991,18.53136866815894,0.5593398868847537,13,5.0721950974021234e-5,Other
2000,18.12095130340071,0.47397641129073054,13,2.031293422358053e-5,Other
1998,20.208173071789812,0.6310092174435861,13,1.0938124297695742e-5,Other
1992,19.1450992809687,0.517837359071354,13,7.0192163152683575e-6,Other
2003,17.50002707329803,0.35719505789524125,13,3.3779626424288383e-6,Other
2001,17.65648669532134,0.3637777391716925,13,2.759766143673802e-6,Other
