year,crop,plant_week,cum_pct,source,state
2018,C,14,0,Observed,Ohio
2018,C,15,0,Observed,Ohio
2018,C,16,0,Observed,Ohio
2018,C,17,1,Observed,Ohio
2018,C,18,23,Observed,Ohio
2018,C,19,55,Observed,Ohio
2018,C,20,71,Observed,Ohio
2018,C,21,82,Observed,Ohio
2018,C,22,90,Observed,Ohio
2018,C,23,97,Observed,Ohio
2018,C,24,100,Observed,Ohio
2019,C,14,0,Observed,Ohio
2019,C,15,0,Observed,Ohio
2019,C,16,1,Observed,Ohio
2019,C,17,2,Observed,Ohio
2019,C,18,2,Observed,Ohio
2019,C,19,4,Observed,Ohio
2019,C,20,9,Observed,Ohio
2019,C,21,22,Observed,Ohio
2019,C,22,33,Observed,Ohio
2019,C,23,50,Observed,Ohio
2019,C,24,68,Observed,Ohio
2019,C,25,80,Observed,Ohio
2019,C,26,91,Observed,Ohio
2019,C,27,98,Observed,Ohio
2019,C,28,100,Observed,Ohio
2019,C,29,100,Observed,Ohio
