year,crop,plant_week,cum_pct,source,state
2018,C,16,0,Observed,Ohio
2018,C,17,1,Observed,Ohio
2018,C,18,8,Observed,Ohio
2018,C,19,31,Observed,Ohio
2018,C,20,50,Observed,Ohio
2018,C,21,67,Observed,Ohio
2018,C,22,81,Observed,Ohio
2018,C,23,90,Observed,Ohio
2018,C,24,95,Observed,Ohio
2018,C,25,100,Observed,Ohio
2019,C,16,0,Observed,Ohio
2019,C,17,1,Observed,Ohio
2019,C,18,1,Observed,Ohio
2019,C,19,2,Observed,Ohio
2019,C,20,4,Observed,Ohio
2019,C,21,11,Observed,Ohio
2019,C,22,18,Observed,Ohio
2019,C,23,32,Observed,Ohio
2019,C,24,46,Observed,Ohio
2019,C,25,65,Observed,Ohio
2019,C,26,81,Observed,Ohio
2019,C,27,88,Observed,Ohio
2019,C,28,95,Observed,Ohio
2019,C,29,100,Observed,Ohio
